產業,股票代號,股票名稱,股價,發放頻率,現金股利,股票股利,合計股利,殖利率(%),除息日,發放日
電機機械,4580,捷流閥業,80.90,年,5.00,0.00,5.00,6.10,'25/07/29,'25/08/21
鋼鐵工業,2211,長榮鋼,97.60,年,5.00,0.00,5.00,6.10,'25/07/17,'25/08/08
居家生活,6671,三能-KY,35.90,年,2.60,0.00,2.60,6.10,'25/07/18,'25/08/15
觀光餐旅,9943,好樂迪,60.80,年,4.80,0.00,4.80,6.08,'25/07/07,'25/07/31
其他業,8435,鉅邁,53.10,年,4.50,0.00,4.50,6.08,'25/05/27,'25/06/27
其他電子業,2373,震旦行,56.10,年,3.70,0.00,3.70,6.07,'25/07/07,'25/07/25
貿易百貨業,2903,遠百,21.95,年,1.35,0.00,1.35,6.07,'25/06/24,'25/07/22
光電業,3168,眾福科,41.30,年,3.04,0.00,3.04,6.07,'25/06/18,'25/07/15
半導體業,2303,聯電,49.50,年,2.85,0.00,2.85,6.06,'25/06/24,'25/07/16
文化創意業,6856,鑫傳,57.90,年,3.40,0.00,3.40,6.06,'25/07/01,'25/07/28
半導體業,3592,瑞鼎,232.50,年,22.20,0.00,22.20,6.05,'25/07/03,'25/07/30
通信網路業,6170,統振,49.50,年,3.11,0.00,3.11,6.05,'25/07/10,'25/08/08
生技醫療業,4138,曜亞,60.70,年,4.15,1.00,5.15,6.04,'25/04/18,'25/05/16
電子零組件業,6115,鎰勝,47.15,年,3.20,0.00,3.20,6.04,'25/07/04,'25/08/01
數位雲端,3130,一零四,226.00,年,14.14,0.00,14.14,6.04,'25/07/10,'25/08/08
ETF,00926,凱基全球菁英55,23.30,年,1.47,0.00,1.47,6.00,'25/12/16,'26/01/13
生技醫療業,1565,精華,117.00,年,9.50,0.00,9.50,5.99,'25/08/25,'25/09/12
鋼鐵工業,2031,新光鋼,37.90,年,2.50,0.00,2.50,5.99,'25/06/19,'25/07/23
觀光餐旅,2727,王品,217.00,年,14.59,0.00,14.59,5.99,'25/07/03,'25/07/30
航運業,2618,長榮航,36.30,年,2.40,0.00,2.40,5.98,'25/07/09,'25/08/08
其他業,9942,茂順,105.50,年,7.00,0.00,7.00,5.98,'25/07/31,'25/08/28
電機機械,4532,瑞智,24.45,年,1.50,0.00,1.50,5.97,'25/04/10,'25/05/08
航運業,2643,捷迅,73.60,年,4.50,0.00,4.50,5.97,'25/06/20,'25/07/18
半導體業,6494,九齊,36.30,年,2.36,0.00,2.36,5.96,'25/06/19,'25/07/10
電子零組件業,2420,新巨,50.90,年,3.50,0.00,3.50,5.95,'25/08/26,'25/09/26
電子零組件業,4974,亞泰,69.60,年,5.45,0.00,5.45,5.94,'25/06/17,'25/07/11
其他業,6184,大豐電,47.80,半年,3.19,0.00,3.19,5.94,'25/06/24,'25/07/18
ETF,00971,野村美國研發龍頭,16.13,年,1.00,0.00,1.00,5.92,'25/12/16,'26/01/13
半導體業,8383,千附,40.65,年,2.50,0.00,2.50,5.92,'25/07/15,'25/08/15
資訊服務業,5212,凌網,52.20,年,3.50,0.00,3.50,5.92,'25/04/09,'25/05/14
金控業,2883,凱基金,17.50,年,0.85,0.10,0.95,5.92,'25/06/30,'25/07/30
紡織纖維,4417,金洲,53.60,年,2.80,0.00,2.80,5.91,'25/07/03,'25/07/25
保險業,2832,台產,50.30,年,2.00,0.00,2.00,5.91,'25/06/16,'25/07/11
運動休閒,6965,中傑-KY,91.60,年,6.00,0.00,6.00,5.91,'25/06/12,'25/07/17
半導體業,4961,天鈺,145.00,年,12.87,0.00,12.87,5.89,'25/07/01,'25/07/25
